,Disease,Symptom_1,Symptom_2,Symptom_3
828,Fungal infection,itching, skin_rash, nodal_skin_eruptions
829,Fungal infection,itching, skin_rash, nodal_skin_eruptions
830,Allergy, continuous_sneezing, shivering, chills
831,Allergy, shivering, chills, watering_from_eyes
832,Allergy, continuous_sneezing, chills, watering_from_eyes
833,Allergy, continuous_sneezing, shivering, watering_from_eyes
834,Allergy, continuous_sneezing, shivering, chills
835,Allergy, shivering, chills, watering_from_eyes
836,Allergy, continuous_sneezing, chills, watering_from_eyes
837,Allergy, continuous_sneezing, shivering, watering_from_eyes
838,Allergy, continuous_sneezing, shivering, chills
839,Allergy, continuous_sneezing, shivering, chills
840,GERD, stomach_pain, acidity, ulcers_on_tongue
841,GERD, stomach_pain, ulcers_on_tongue, vomiting
842,GERD, stomach_pain, acidity, vomiting
843,GERD, stomach_pain, acidity, ulcers_on_tongue
844,GERD, stomach_pain, acidity, ulcers_on_tongue
845,GERD, stomach_pain, acidity, ulcers_on_tongue
846,GERD, acidity, ulcers_on_tongue, vomiting
847,GERD, stomach_pain, ulcers_on_tongue, vomiting
848,GERD, stomach_pain, acidity, vomiting
849,GERD, stomach_pain, acidity, ulcers_on_tongue
850,Chronic cholestasis,itching, vomiting, yellowish_skin
851,Chronic cholestasis, vomiting, yellowish_skin, nausea
852,Chronic cholestasis,itching, yellowish_skin, nausea
853,Chronic cholestasis,itching, vomiting, nausea
854,Chronic cholestasis,itching, vomiting, yellowish_skin
855,Chronic cholestasis,itching, vomiting, yellowish_skin
856,Chronic cholestasis,itching, vomiting, yellowish_skin
857,Chronic cholestasis,itching, vomiting, yellowish_skin
858,Chronic cholestasis,itching, vomiting, yellowish_skin
859,Chronic cholestasis,itching, vomiting, yellowish_skin
860,Drug Reaction,itching, skin_rash, stomach_pain
861,Drug Reaction,itching, stomach_pain, burning_micturition
862,Drug Reaction,itching, skin_rash, burning_micturition
863,Drug Reaction,itching, skin_rash, stomach_pain
864,Drug Reaction,itching, skin_rash, stomach_pain
865,Drug Reaction, skin_rash, stomach_pain, burning_micturition
866,Drug Reaction,itching, stomach_pain, burning_micturition
867,Drug Reaction,itching, skin_rash, burning_micturition
868,Drug Reaction,itching, skin_rash, stomach_pain
869,Drug Reaction,itching, skin_rash, stomach_pain
870,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain
871,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain
872,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain
873,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain
874,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain
875,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
876,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
877,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
878,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
879,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
880,AIDS, muscle_wasting, patches_in_throat, high_fever
881,AIDS, patches_in_throat, high_fever, extra_marital_contacts
882,AIDS, muscle_wasting, high_fever, extra_marital_contacts
883,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts
884,AIDS, muscle_wasting, patches_in_throat, high_fever
885,AIDS, muscle_wasting, patches_in_throat, high_fever
886,AIDS, muscle_wasting, patches_in_throat, high_fever
887,AIDS, patches_in_throat, high_fever, extra_marital_contacts
888,AIDS, muscle_wasting, high_fever, extra_marital_contacts
889,AIDS, muscle_wasting, patches_in_throat, high_fever
890,Diabetes , fatigue, weight_loss, restlessness
891,Diabetes , fatigue, weight_loss, restlessness
892,Diabetes , weight_loss, restlessness, lethargy
893,Diabetes , fatigue, restlessness, lethargy
894,Diabetes , fatigue, weight_loss, lethargy
895,Diabetes , fatigue, weight_loss, restlessness
896,Diabetes , fatigue, weight_loss, restlessness
897,Diabetes , fatigue, weight_loss, restlessness
898,Diabetes , fatigue, weight_loss, restlessness
899,Diabetes , fatigue, weight_loss, restlessness
900,Gastroenteritis, vomiting, sunken_eyes, dehydration
901,Gastroenteritis, vomiting, sunken_eyes, dehydration
902,Gastroenteritis, sunken_eyes, dehydration, diarrhoea
903,Gastroenteritis, vomiting, dehydration, diarrhoea
904,Gastroenteritis, vomiting, sunken_eyes, diarrhoea
905,Gastroenteritis, vomiting, sunken_eyes, dehydration
906,Gastroenteritis, vomiting, sunken_eyes, dehydration
907,Gastroenteritis, sunken_eyes, dehydration, diarrhoea
908,Gastroenteritis, vomiting, dehydration, diarrhoea
909,Gastroenteritis, vomiting, sunken_eyes, diarrhoea
910,Bronchial Asthma, fatigue, cough, high_fever
911,Bronchial Asthma, cough, high_fever, breathlessness
912,Bronchial Asthma, fatigue, high_fever, breathlessness
913,Bronchial Asthma, fatigue, cough, breathlessness
914,Bronchial Asthma, fatigue, cough, high_fever
915,Bronchial Asthma, fatigue, cough, high_fever
916,Bronchial Asthma, fatigue, cough, high_fever
917,Bronchial Asthma, fatigue, cough, high_fever
918,Bronchial Asthma, cough, high_fever, breathlessness
919,Bronchial Asthma, fatigue, high_fever, breathlessness
920,Hypertension , headache, chest_pain, dizziness
921,Hypertension , chest_pain, dizziness, loss_of_balance
922,Hypertension , headache, dizziness, loss_of_balance
923,Hypertension , headache, chest_pain, loss_of_balance
924,Hypertension , headache, chest_pain, dizziness
925,Hypertension , headache, chest_pain, dizziness
926,Hypertension , headache, chest_pain, dizziness
927,Hypertension , chest_pain, dizziness, loss_of_balance
928,Hypertension , headache, dizziness, loss_of_balance
929,Hypertension , headache, chest_pain, loss_of_balance
930,Migraine, acidity, indigestion, headache
931,Migraine, indigestion, headache, blurred_and_distorted_vision
932,Migraine, acidity, headache, blurred_and_distorted_vision
933,Migraine, acidity, indigestion, blurred_and_distorted_vision
934,Migraine, acidity, indigestion, headache
935,Migraine, acidity, indigestion, headache
936,Migraine, acidity, indigestion, headache
937,Migraine, acidity, indigestion, headache
938,Migraine, acidity, indigestion, headache
939,Migraine, acidity, indigestion, headache
940,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
941,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
942,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness
943,Cervical spondylosis, back_pain, neck_pain, dizziness
944,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness
945,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
946,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
947,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
948,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness
949,Cervical spondylosis, back_pain, neck_pain, dizziness
950,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side
951,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side
952,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium
953,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium
954,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium
955,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side
956,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side
957,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium
958,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium
959,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium
960,Jaundice,itching, vomiting, fatigue
961,Jaundice,itching, vomiting, fatigue
962,Jaundice, vomiting, fatigue, weight_loss
963,Jaundice,itching, fatigue, weight_loss
964,Jaundice,itching, vomiting, weight_loss
965,Jaundice,itching, vomiting, fatigue
966,Jaundice,itching, vomiting, fatigue
967,Jaundice,itching, vomiting, fatigue
968,Jaundice,itching, vomiting, fatigue
969,Jaundice,itching, vomiting, fatigue
970,Malaria, chills, vomiting, high_fever
971,Malaria, chills, vomiting, high_fever
972,Malaria, chills, vomiting, high_fever
973,Malaria, vomiting, high_fever, sweating
974,Malaria, chills, high_fever, sweating
975,Malaria, chills, vomiting, sweating
976,Malaria, chills, vomiting, high_fever
977,Malaria, chills, vomiting, high_fever
978,Malaria, chills, vomiting, high_fever
979,Malaria, chills, vomiting, high_fever
980,Chicken pox,itching, skin_rash, fatigue
981,Chicken pox, skin_rash, fatigue, lethargy
982,Chicken pox,itching, fatigue, lethargy
983,Chicken pox,itching, skin_rash, lethargy
984,Chicken pox,itching, skin_rash, fatigue
985,Chicken pox,itching, skin_rash, fatigue
986,Chicken pox,itching, skin_rash, fatigue
987,Chicken pox,itching, skin_rash, fatigue
988,Chicken pox,itching, skin_rash, fatigue
989,Chicken pox,itching, skin_rash, fatigue
990,Dengue, skin_rash, chills, joint_pain
991,Dengue, skin_rash, chills, joint_pain
992,Dengue, skin_rash, chills, joint_pain
993,Dengue, skin_rash, chills, joint_pain
994,Dengue, chills, joint_pain, vomiting
995,Dengue, skin_rash, joint_pain, vomiting
996,Dengue, skin_rash, chills, vomiting
997,Dengue, skin_rash, chills, joint_pain
998,Dengue, skin_rash, chills, joint_pain
999,Dengue, skin_rash, chills, joint_pain
1000,Typhoid, chills, vomiting, fatigue
1001,Typhoid, chills, vomiting, fatigue
1002,Typhoid, chills, vomiting, fatigue
1003,Typhoid, chills, vomiting, fatigue
1004,Typhoid, chills, vomiting, fatigue
1005,Typhoid, chills, vomiting, fatigue
1006,Typhoid, chills, vomiting, fatigue
1007,Typhoid, chills, vomiting, fatigue
1008,Typhoid, chills, vomiting, fatigue
1009,Typhoid, chills, fatigue, high_fever
1010,hepatitis A, joint_pain, vomiting, yellowish_skin
1011,hepatitis A, joint_pain, vomiting, yellowish_skin
1012,hepatitis A, vomiting, yellowish_skin, dark_urine
1013,hepatitis A, joint_pain, yellowish_skin, dark_urine
1014,hepatitis A, joint_pain, vomiting, dark_urine
1015,hepatitis A, joint_pain, vomiting, yellowish_skin
1016,hepatitis A, joint_pain, vomiting, yellowish_skin
1017,hepatitis A, joint_pain, vomiting, yellowish_skin
1018,hepatitis A, joint_pain, vomiting, yellowish_skin
1019,hepatitis A, joint_pain, vomiting, yellowish_skin
1020,Hepatitis B,itching, fatigue, lethargy
1021,Hepatitis B,itching, fatigue, lethargy
1022,Hepatitis B, fatigue, lethargy, yellowish_skin
1023,Hepatitis B,itching, lethargy, yellowish_skin
1024,Hepatitis B,itching, fatigue, yellowish_skin
1025,Hepatitis B,itching, fatigue, lethargy
1026,Hepatitis B,itching, fatigue, lethargy
1027,Hepatitis B,itching, fatigue, lethargy
1028,Hepatitis B,itching, fatigue, lethargy
1029,Hepatitis B,itching, fatigue, lethargy
1030,Hepatitis C, fatigue, yellowish_skin, nausea
1031,Hepatitis C, fatigue, yellowish_skin, nausea
1032,Hepatitis C, yellowish_skin, nausea, loss_of_appetite
1033,Hepatitis C, fatigue, nausea, loss_of_appetite
1034,Hepatitis C, fatigue, yellowish_skin, loss_of_appetite
1035,Hepatitis C, fatigue, yellowish_skin, nausea
1036,Hepatitis C, fatigue, yellowish_skin, nausea
1037,Hepatitis C, fatigue, yellowish_skin, nausea
1038,Hepatitis C, fatigue, yellowish_skin, nausea
1039,Hepatitis C, fatigue, yellowish_skin, nausea
1040,Hepatitis D, joint_pain, vomiting, fatigue
1041,Hepatitis D, vomiting, fatigue, yellowish_skin
1042,Hepatitis D, joint_pain, fatigue, yellowish_skin
1043,Hepatitis D, joint_pain, vomiting, yellowish_skin
1044,Hepatitis D, joint_pain, vomiting, fatigue
1045,Hepatitis D, joint_pain, vomiting, fatigue
1046,Hepatitis D, joint_pain, vomiting, fatigue
1047,Hepatitis D, joint_pain, vomiting, fatigue
1048,Hepatitis D, joint_pain, vomiting, fatigue
1049,Hepatitis D, joint_pain, vomiting, fatigue
1050,Hepatitis E, joint_pain, vomiting, fatigue
1051,Hepatitis E, joint_pain, vomiting, fatigue
1052,Hepatitis E, joint_pain, vomiting, fatigue
1053,Hepatitis E, vomiting, fatigue, high_fever
1054,Hepatitis E, joint_pain, fatigue, high_fever
1055,Hepatitis E, joint_pain, vomiting, high_fever
1056,Hepatitis E, joint_pain, vomiting, fatigue
1057,Hepatitis E, joint_pain, vomiting, fatigue
1058,Hepatitis E, joint_pain, vomiting, fatigue
1059,Hepatitis E, joint_pain, vomiting, fatigue
1060,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
1061,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
1062,Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach
1063,Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach
1064,Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach
1065,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
1066,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
1067,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
1068,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
1069,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
1070,Tuberculosis, chills, vomiting, fatigue
1071,Tuberculosis, chills, vomiting, fatigue
1072,Tuberculosis, vomiting, fatigue, weight_loss
1073,Tuberculosis, chills, fatigue, weight_loss
1074,Tuberculosis, chills, vomiting, weight_loss
1075,Tuberculosis, chills, vomiting, fatigue
1076,Tuberculosis, chills, vomiting, fatigue
1077,Tuberculosis, chills, vomiting, fatigue
1078,Tuberculosis, chills, vomiting, fatigue
1079,Tuberculosis, chills, vomiting, fatigue
1080,Common Cold, continuous_sneezing, chills, fatigue
1081,Common Cold, continuous_sneezing, chills, fatigue
1082,Common Cold, chills, fatigue, cough
1083,Common Cold, continuous_sneezing, fatigue, cough
1084,Common Cold, continuous_sneezing, chills, cough
1085,Common Cold, continuous_sneezing, chills, fatigue
1086,Common Cold, continuous_sneezing, chills, fatigue
1087,Common Cold, continuous_sneezing, chills, fatigue
1088,Common Cold, continuous_sneezing, chills, fatigue
1089,Common Cold, continuous_sneezing, chills, fatigue
1090,Pneumonia, chills, fatigue, cough
1091,Pneumonia, chills, fatigue, cough
1092,Pneumonia, chills, fatigue, cough
1093,Pneumonia, fatigue, cough, high_fever
1094,Pneumonia, chills, cough, high_fever
1095,Pneumonia, chills, fatigue, high_fever
1096,Pneumonia, chills, fatigue, cough
1097,Pneumonia, chills, fatigue, cough
1098,Pneumonia, chills, fatigue, cough
1099,Pneumonia, chills, fatigue, cough
1100,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
1101,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
1102,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
1103,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1104,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool
1105,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool
1106,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
1107,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
1108,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
1109,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
1110,Heart attack, vomiting, breathlessness, sweating
1111,Heart attack, vomiting, breathlessness, sweating
1112,Heart attack, breathlessness, sweating, chest_pain
1113,Heart attack, vomiting, sweating, chest_pain
1114,Heart attack, vomiting, breathlessness, chest_pain
1115,Heart attack, vomiting, breathlessness, sweating
1116,Heart attack, vomiting, breathlessness, sweating
1117,Heart attack, breathlessness, sweating, chest_pain
1118,Heart attack, vomiting, sweating, chest_pain
1119,Heart attack, vomiting, breathlessness, chest_pain
1120,Varicose veins, fatigue, cramps, bruising
1121,Varicose veins, fatigue, cramps, bruising
1122,Varicose veins, cramps, bruising, obesity
1123,Varicose veins, fatigue, bruising, obesity
1124,Varicose veins, fatigue, cramps, obesity
1125,Varicose veins, fatigue, cramps, bruising
1126,Varicose veins, fatigue, cramps, bruising
1127,Varicose veins, fatigue, cramps, bruising
1128,Varicose veins, fatigue, cramps, bruising
1129,Varicose veins, fatigue, cramps, bruising
1130,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
1131,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
1132,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings
1133,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings
1134,Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings
1135,Hypothyroidism, fatigue, weight_gain, mood_swings
1136,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
1137,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
1138,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
1139,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
1140,Hyperthyroidism, fatigue, mood_swings, weight_loss
1141,Hyperthyroidism, fatigue, mood_swings, weight_loss
1142,Hyperthyroidism, mood_swings, weight_loss, restlessness
1143,Hyperthyroidism, fatigue, weight_loss, restlessness
1144,Hyperthyroidism, fatigue, mood_swings, restlessness
1145,Hyperthyroidism, fatigue, mood_swings, weight_loss
1146,Hyperthyroidism, fatigue, mood_swings, weight_loss
1147,Hyperthyroidism, fatigue, mood_swings, weight_loss
1148,Hyperthyroidism, fatigue, mood_swings, weight_loss
1149,Hyperthyroidism, fatigue, mood_swings, weight_loss
1150,Hypoglycemia, vomiting, fatigue, anxiety
1151,Hypoglycemia, vomiting, fatigue, anxiety
1152,Hypoglycemia, vomiting, fatigue, anxiety
1153,Hypoglycemia, fatigue, anxiety, sweating
1154,Hypoglycemia, vomiting, anxiety, sweating
1155,Hypoglycemia, vomiting, fatigue, sweating
1156,Hypoglycemia, vomiting, fatigue, anxiety
1157,Hypoglycemia, vomiting, fatigue, anxiety
1158,Hypoglycemia, vomiting, fatigue, anxiety
1159,Hypoglycemia, vomiting, fatigue, anxiety
1160,Osteoarthristis, joint_pain, neck_pain, knee_pain
1161,Osteoarthristis, joint_pain, neck_pain, knee_pain
1162,Osteoarthristis, neck_pain, knee_pain, hip_joint_pain
1163,Osteoarthristis, joint_pain, knee_pain, hip_joint_pain
1164,Osteoarthristis, joint_pain, neck_pain, hip_joint_pain
1165,Osteoarthristis, joint_pain, neck_pain, knee_pain
1166,Osteoarthristis, joint_pain, neck_pain, knee_pain
1167,Osteoarthristis, joint_pain, neck_pain, knee_pain
1168,Osteoarthristis, joint_pain, neck_pain, knee_pain
1169,Osteoarthristis, joint_pain, neck_pain, knee_pain
1170,Arthritis, muscle_weakness, stiff_neck, swelling_joints
1171,Arthritis, muscle_weakness, stiff_neck, swelling_joints
1172,Arthritis, stiff_neck, swelling_joints, movement_stiffness
1173,Arthritis, muscle_weakness, swelling_joints, movement_stiffness
1174,Arthritis, muscle_weakness, stiff_neck, movement_stiffness
1175,Arthritis, muscle_weakness, stiff_neck, swelling_joints
1176,Arthritis, muscle_weakness, stiff_neck, swelling_joints
1177,Arthritis, muscle_weakness, stiff_neck, swelling_joints
1178,Arthritis, muscle_weakness, stiff_neck, swelling_joints
1179,Arthritis, muscle_weakness, stiff_neck, swelling_joints
1180,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
1181,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
1182,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements
1183,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements
1184,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements
1185,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
1186,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
1187,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
1188,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
1189,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
1190,Acne, skin_rash, pus_filled_pimples, blackheads
1191,Acne, skin_rash, pus_filled_pimples, blackheads
1192,Acne, pus_filled_pimples, blackheads, scurring
1193,Acne, skin_rash, blackheads, scurring
1194,Acne, skin_rash, pus_filled_pimples, scurring
1195,Acne, skin_rash, pus_filled_pimples, blackheads
1196,Acne, skin_rash, pus_filled_pimples, blackheads
1197,Acne, skin_rash, pus_filled_pimples, blackheads
1198,Acne, skin_rash, pus_filled_pimples, scurring
1199,Acne, skin_rash, blackheads, scurring
1200,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine
1201,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine
1202,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1203,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine
1204,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine
1205,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine
1206,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine
1207,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine
1208,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1209,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine
1210,Psoriasis, skin_rash, joint_pain, skin_peeling
1211,Psoriasis, skin_rash, joint_pain, skin_peeling
1212,Psoriasis, joint_pain, skin_peeling, silver_like_dusting
1213,Psoriasis, skin_rash, skin_peeling, silver_like_dusting
1214,Psoriasis, skin_rash, joint_pain, silver_like_dusting
1215,Psoriasis, skin_rash, joint_pain, skin_peeling
1216,Psoriasis, skin_rash, joint_pain, skin_peeling
1217,Psoriasis, skin_rash, joint_pain, skin_peeling
1218,Psoriasis, skin_rash, joint_pain, skin_peeling
1219,Psoriasis, skin_rash, joint_pain, skin_peeling
1220,Impetigo, skin_rash, high_fever, blister
1221,Impetigo, skin_rash, high_fever, blister
1222,Impetigo, high_fever, blister, red_sore_around_nose
1223,Impetigo, skin_rash, blister, red_sore_around_nose
1224,Impetigo, skin_rash, blister, red_sore_around_nose
1225,Impetigo, skin_rash, high_fever, red_sore_around_nose
1226,Impetigo, skin_rash, high_fever, blister
1227,Impetigo, skin_rash, high_fever, blister
1228,Impetigo, skin_rash, high_fever, blister
1229,Impetigo, skin_rash, blister, red_sore_around_nose
1230,Fungal infection,itching, skin_rash, nodal_skin_eruptions
1231,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches
1232,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches
1233,Fungal infection,itching, skin_rash, dischromic _patches
1234,Fungal infection,itching, skin_rash, nodal_skin_eruptions
1235,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches
1236,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches
1237,Fungal infection,itching, skin_rash, dischromic _patches
1238,Fungal infection,itching, skin_rash, nodal_skin_eruptions
1239,Fungal infection,itching, skin_rash, nodal_skin_eruptions
1240,Allergy, continuous_sneezing, shivering, chills
1241,Allergy, shivering, chills, watering_from_eyes
1242,Allergy, continuous_sneezing, chills, watering_from_eyes
1243,Allergy, continuous_sneezing, shivering, watering_from_eyes
1244,Allergy, continuous_sneezing, shivering, chills
1245,Allergy, shivering, chills, watering_from_eyes
1246,Allergy, continuous_sneezing, chills, watering_from_eyes
1247,Allergy, continuous_sneezing, shivering, watering_from_eyes
1248,Allergy, continuous_sneezing, shivering, chills
1249,Allergy, continuous_sneezing, shivering, chills
1250,GERD, stomach_pain, acidity, ulcers_on_tongue
1251,GERD, stomach_pain, ulcers_on_tongue, vomiting
1252,GERD, stomach_pain, acidity, vomiting
1253,GERD, stomach_pain, acidity, ulcers_on_tongue
1254,GERD, stomach_pain, acidity, ulcers_on_tongue
1255,GERD, stomach_pain, acidity, ulcers_on_tongue
1256,GERD, acidity, ulcers_on_tongue, vomiting
1257,GERD, stomach_pain, ulcers_on_tongue, vomiting
1258,GERD, stomach_pain, acidity, vomiting
1259,GERD, stomach_pain, acidity, ulcers_on_tongue
1260,Chronic cholestasis,itching, vomiting, yellowish_skin
1261,Chronic cholestasis, vomiting, yellowish_skin, nausea
1262,Chronic cholestasis,itching, yellowish_skin, nausea
1263,Chronic cholestasis,itching, vomiting, nausea
1264,Chronic cholestasis,itching, vomiting, yellowish_skin
1265,Chronic cholestasis,itching, vomiting, yellowish_skin
1266,Chronic cholestasis,itching, vomiting, yellowish_skin
1267,Chronic cholestasis,itching, vomiting, yellowish_skin
1268,Chronic cholestasis,itching, vomiting, yellowish_skin
1269,Chronic cholestasis,itching, vomiting, yellowish_skin
1270,Drug Reaction,itching, skin_rash, stomach_pain
1271,Drug Reaction,itching, stomach_pain, burning_micturition
1272,Drug Reaction,itching, skin_rash, burning_micturition
1273,Drug Reaction,itching, skin_rash, stomach_pain
1274,Drug Reaction,itching, skin_rash, stomach_pain
1275,Drug Reaction, skin_rash, stomach_pain, burning_micturition
1276,Drug Reaction,itching, stomach_pain, burning_micturition
1277,Drug Reaction,itching, skin_rash, burning_micturition
1278,Drug Reaction,itching, skin_rash, stomach_pain
1279,Drug Reaction,itching, skin_rash, stomach_pain
1280,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain
1281,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain
1282,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain
1283,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain
1284,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain
1285,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
1286,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
1287,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
1288,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
1289,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
1290,AIDS, muscle_wasting, patches_in_throat, high_fever
1291,AIDS, patches_in_throat, high_fever, extra_marital_contacts
1292,AIDS, muscle_wasting, high_fever, extra_marital_contacts
1293,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts
1294,AIDS, muscle_wasting, patches_in_throat, high_fever
1295,AIDS, muscle_wasting, patches_in_throat, high_fever
1296,AIDS, muscle_wasting, patches_in_throat, high_fever
1297,AIDS, patches_in_throat, high_fever, extra_marital_contacts
1298,AIDS, muscle_wasting, high_fever, extra_marital_contacts
1299,AIDS, muscle_wasting, patches_in_throat, high_fever
1300,Diabetes , fatigue, weight_loss, restlessness
1301,Diabetes , fatigue, weight_loss, restlessness
1302,Diabetes , weight_loss, restlessness, lethargy
1303,Diabetes , fatigue, restlessness, lethargy
1304,Diabetes , fatigue, weight_loss, lethargy
1305,Diabetes , fatigue, weight_loss, restlessness
1306,Diabetes , fatigue, weight_loss, restlessness
1307,Diabetes , fatigue, weight_loss, restlessness
1308,Diabetes , fatigue, weight_loss, restlessness
1309,Diabetes , fatigue, weight_loss, restlessness
1310,Gastroenteritis, vomiting, sunken_eyes, dehydration
1311,Gastroenteritis, vomiting, sunken_eyes, dehydration
1312,Gastroenteritis, sunken_eyes, dehydration, diarrhoea
1313,Gastroenteritis, vomiting, dehydration, diarrhoea
1314,Gastroenteritis, vomiting, sunken_eyes, diarrhoea
1315,Gastroenteritis, vomiting, sunken_eyes, dehydration
1316,Gastroenteritis, vomiting, sunken_eyes, dehydration
1317,Gastroenteritis, sunken_eyes, dehydration, diarrhoea
1318,Gastroenteritis, vomiting, dehydration, diarrhoea
1319,Gastroenteritis, vomiting, sunken_eyes, diarrhoea
1320,Bronchial Asthma, fatigue, cough, high_fever
1321,Bronchial Asthma, cough, high_fever, breathlessness
